state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,009,252602,4,Methuen Town,250092526024,1824,999,56,95,71,61,13,0,13,9,115,35,80,44,58,109,46,51,33,29,7,58,9,7,0,825,12,39,38,28,10,0,0,50,71,61,64,18,95,74,45,59,30,7,28,52,27,7,10
25,005,641300,5,Fall River,250056413005,1012,583,85,13,0,17,1,0,0,86,141,38,0,20,1,31,16,17,0,15,35,0,67,0,0,429,0,0,0,0,53,0,0,144,54,0,0,18,0,43,22,15,36,0,0,13,17,0,14
25,027,710600,5,Fitchburg,250277106005,1917,991,0,152,117,13,26,14,0,17,132,144,81,69,38,30,62,0,0,12,0,7,77,0,0,926,0,184,56,59,45,0,0,63,79,158,24,15,21,96,9,15,13,0,14,6,55,0,14
25,017,353000,3,Cambridge,250173530003,1065,526,46,17,29,29,8,12,0,25,74,55,21,22,11,72,0,15,0,0,14,48,0,8,20,539,0,0,0,18,0,0,0,53,107,74,9,23,20,67,10,14,6,0,7,31,46,31,23
25,025,050901,2,Boston,250250509012,1726,943,0,10,102,32,22,0,31,14,88,166,153,113,59,32,36,12,11,11,38,0,13,0,0,783,14,61,42,57,0,0,0,10,23,204,109,51,55,39,36,11,29,9,0,18,15,0,0
25,009,209100,1,Lynnfield,250092091001,1608,735,63,26,96,12,26,0,0,29,42,25,22,82,59,92,68,0,0,48,0,0,32,13,0,873,76,133,17,63,0,0,0,55,0,26,40,37,73,125,48,0,28,0,56,24,47,13,12
25,017,382100,2,Cochituate,250173821002,981,499,38,34,50,12,0,0,10,0,4,0,33,11,39,87,22,21,22,0,0,32,35,37,12,482,0,21,8,30,8,0,12,0,16,10,15,79,21,58,31,0,43,13,44,0,0,63,10
25,027,744200,4,Milford,250277442004,1511,830,47,23,50,11,65,2,0,0,140,80,0,40,73,81,59,40,17,45,14,14,18,0,11,681,41,0,28,16,33,0,0,0,11,44,0,124,81,35,50,25,46,24,28,0,44,11,40
25,027,744102,2,Milford,250277441022,2508,1251,87,43,70,47,28,0,0,54,16,61,113,108,129,97,139,19,42,9,53,39,72,18,7,1257,56,81,44,65,48,0,19,8,60,32,63,106,62,130,75,16,82,14,39,48,62,25,122
25,025,101002,3,Boston,250251010023,2798,1082,153,50,0,14,42,0,49,31,188,72,26,83,48,49,121,52,22,0,53,4,3,18,4,1716,49,47,43,0,58,0,49,149,165,140,137,0,208,321,159,42,18,34,4,16,15,30,32
