GEOID10,senior_population,schools_within_a_mile
250250509012,104,"['Alighieri_ Dante Montessori School', 'East Boston Early Education Center', 'East Boston High School', 'Kennedy_ Patrick Elementary', 'McKay_ Donald K-8', ""O'Donnell_ Hugh R. Elementary"", 'Otis_ James Elementary', 'Umana_ Mario Academy']"
250251010023,213,"['Boston International Newcomers Academy', 'Chittick_ James J. Elementary', 'Ellison/Parks Early Education School', 'Mattahunt Elementary School', 'Mildred Avenue K-8', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'Young Achievers Science & Math K-8']"
250251202012,119,"['Boston Teachers Union K-8 School', 'Community Academy', 'Curley K-8', 'Ellis_ David A. Elementary', 'English High School', 'Greater Egleston High School', 'Hernandez_ Rafael K-8', 'Mendell_ Ellis Elementary', 'Mission Hill K-8', 'Muniz_ Margarita Academy']"
250250304002,50,['Harvard/Kent Elementary']
250251008005,281,"['Boston International Newcomers Academy', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Quincy_ Josiah Elementary', 'Taylor_ Charles H. Elementary']"
250250920003,38,"['Boston Arts Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mather Elementary', 'McKinley_ William Middle', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250607002,121,"['Blackstone Elementary School', 'Boston Collaborative High School', 'Condon_ James F. K-8', 'Excel High School', 'Perkins_ Michael J. Elementary', 'Tynan_ Joseph P. Elementary', 'UP Academy Boston']"
250250107013,66,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'McKinley_ William Preparatory High School', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250251001003,275,"['Boston International Newcomers Academy', 'Greenwood_ Sarah K-8', 'Haley_ Dennis K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mildred Avenue K-8', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy', 'Young Achievers Science & Math K-8']"
250250701012,67,"['Boston Adult Technical Academy', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley']"
250250812002,71,"['Boston Latin School', 'Curley K-8', 'Ellis_ David A. Elementary', 'Fenway High School', 'Greater Egleston High School', 'Hale_ Nathan Elementary', 'Hennigan_ James W. K-8', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ John F. Elementary', 'Mendell_ Ellis Elementary', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'West Zone Early Learning Center']"
250250511012,152,"['Bradley_ Manassah E. Elementary', 'Guild_ Curtis Elementary']"
250250808012,132,"['Boston Day & Evening Academy', 'Boston Latin School', 'Carter School_ The', 'Fenway High School', 'Hale_ Nathan Elementary', 'Hennigan_ James W. K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ John F. Elementary', 'McKinley_ William Preparatory High School', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'West Zone Early Learning Center']"
250251104034,125,"['Bates_ Phineas Elementary', 'Conley_ George H. Elementary', 'Irving_ Washington  Middle', 'Mozart_ Wolfgang A. Elementary', 'Philbrick_ John D. Elementary', 'Sumner_ Charles Elementary']"
250250821003,724,"['Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Community Academy', 'Ellis_ David A. Elementary', 'Frederick_ Lilla G. Middle', 'Greater Egleston High School', 'Haynes Early Education Center', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Higginson-Lewis', 'King_ Martin Luther_ Jr. K-8', 'Mendell_ Ellis Elementary', 'Trotter_ William Monroe K-8', 'UP Academy Holland', 'Winthrop_ John Elementary']"
250250821002,136,"['Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Community Academy', 'Ellis_ David A. Elementary', 'Frederick_ Lilla G. Middle', 'Greater Egleston High School', 'Greenwood_ Sarah K-8', 'Haynes Early Education Center', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Higginson-Lewis', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Mendell_ Ellis Elementary', 'Trotter_ William Monroe K-8', 'UP Academy Dorchester', 'UP Academy Holland', 'Winthrop_ John Elementary']"
250259811002,0,"['Chittick_ James J. Elementary', 'Ellison/Parks Early Education School', 'Haley_ Dennis K-8', 'Mattahunt Elementary School', 'Mildred Avenue K-8', 'Philbrick_ John D. Elementary', 'Shaw_ Pauline A. Elementary', 'Young Achievers Science & Math K-8']"
250250108023,139,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250906001,118,"['Boston Day & Evening Academy', 'Boston Latin Academy', 'Clap Elementary School', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Everett_ Edward Elementary', 'Frederick_ Lilla G. Middle', 'Hale_ Nathan Elementary', 'Haynes Early Education Center', 'Higginson K0-2', 'Higginson-Lewis', 'King_ Martin Luther_ Jr. K-8', 'Mason_ Samuel Elementary', 'Orchard Gardens K-8', 'Russell_ William E.  Elementary', 'Trotter_ William Monroe K-8', 'Winthrop_ John Elementary']"
