school_name,blockgroup_within_1_mile,number_of_blockgroups
Adams_ Samuel Elementary,"[250250507002 250250506002 250250503002 250250504002 250250503001
 250250507001 250250502003 250250305001 250250512001 250250506001
 250250512003 250250501013 250250304001 250250305003 250250305002
 250250502001 250250303001 250250507003 250250505001 250250502002
 250250512002 250250502004 250250504001]",23
Alighieri_ Dante Montessori School,"[250250509012 250250507002 250250509011 250250506002 250250503002
 250250504002 250250501011 250250503001 250250507001 250250502003
 250250305001 250250512001 250250506001 250250512003 250250501013
 250250304001 250250305003 250250301001 250250305002 250250408013
 250250502001 250250303001 250250507003 250250505001 250250502002
 250250501012 250250512002 250250502004 250250504001 250250509013]",30
Another Course to College,"[250251010012 250251404006 250251403005 250251402023 250251403004
 250251404002 250251404005 250251010015 250251104035 250251404004
 250251403003 250251403002 250251401071 250251403001 250251404001
 250251403006 250251401051 250251404007 250251104033 250251404003
 250251104031 250251401052]",22
Baldwin Early Learning Pilot Academy,"[250250004021 250250007043 250250005044 250250005032 250250005041
 250250006012 250250004014 250250007041 250250007042 250250004011
 250250007013 250250006022 250250008022 250250004013 250250006011
 250250007012 250250006013 250250007044 250250006023 250250007032
 250250004012 250250002021 250250005021 250250005023 250250005042
 250250006014 250250004023 250250005043 250250007011 250250007031
 250250006021 250250005031 250250007015 250250007014]",34
Bates_ Phineas Elementary,"[250251104034 250251106072 250259807001 250251303003 250251105013
 250251303004 250251105022 250251105011 250251401061 250251303002
 250251106071 250251104035 250251105012 250251401062 250251104032
 250251104012 250251303001 250251401051 250251404007 250251104033
 250251104031 250251105023 250251102011 250251106073 250251105021]",25
Beethoven_ Ludwig van Elementary,"[250259807001 250251304025 250251304041 250251304062 250251303004
 250251304061 250251304042 250251304043 250251304024 250251304023
 250251304063]",11
Blackstone Elementary School,"[250250607002 250250107013 250250108023 250250709002 250250707002
 250250705001 250250607001 250250104032 250250805002 250250804012
 250250104053 250250703004 250250702003 250250712011 250250107023
 250250108012 250250801001 250250712012 250250108021 250250706002
 250250107022 250250711012 250250702002 250250703002 250250104052
 250250706001 250250805001 250250105003 250250702001 250250704021
 250250703003 250250104042 250250104031 250250105001 250250108013
 250250107021 250250612001 250250711013 250250104043 250250806011
 250250709001 250250104041 250259817001 250250705002 250250106002
 250250612002 250250106001 250250701017 250250701015 250250108011
 250250104033 250250107012 250250104051 250250707001 250250107011
 250250804011 250250703001 250250711011 250250705004 250250701016
 250250705003 250250708002 250250708003 250250708001 250250105002]",65
Boston Adult Technical Academy,"[250250107013 250250701012 250250108023 250250709002 250250707002
 250250705001 250250701014 250250104053 250250703004 250250702003
 250250712011 250250107023 250250202002 250250108012 250250701018
 250250712012 250250108021 250250706002 250250107022 250250711012
 250250702002 250250703002 250250201014 250250706001 250250202001
 250250105003 250250202003 250250702001 250250701013 250250704021
 250250703003 250250105001 250250201012 250250108013 250250107021
 250250612001 250250303004 250250201013 250250203021 250250709001
 250259817001 250250705002 250250203011 250250106002 250250106001
 250250303003 250250701017 250250701015 250250108011 250250701011
 250250107012 250250707001 250250107011 250250703001 250250711011
 250250705004 250250701016 250250705003 250250708002 250250708003
 250250708001 250250105002 250250201011]",63
Boston Arts Academy,"[250250920003 250250901004 250251006011 250250919001 250250922001
 250250922002 250250923001 250251005003 250250918003 250251006014
 250250923002 250250919004 250251005001 250250917003 250250915002
 250251008002 250250915003 250250916003 250250903001 250250910011
 250250922003 250250920002 250250923003 250250910013 250250919002
 250250912002 250250918001 250250921014 250250911004 250251008001
 250250916002 250251006013 250250923004 250250921011 250250917002
 250250922004 250250916001 250250921015 250251006012 250250917001
 250250902001 250250919003 250250921012 250250920004 250250918002
 250250910012 250250915001 250250920001 250250921013]",49
Boston Collaborative High School,"[250250607002 250250612003 250250607001 250250907004 250250610003
 250250605012 250250712011 250250605015 250250801001 250250907002
 250250605011 250250603012 250250608002 250250603013 250250604002
 250250611011 250250608001 250250604005 250250608003 250250909011
 250250611012 250250610002 250250612001 250250603011 250250907001
 250250612002 250250907003 250250604003 250250605013 250250602002
 250250604004 250250608004 250250604001 250250610001]",34
Boston Day & Evening Academy,"[250250808012 250250906001 250250709002 250250913002 250250805002
 250250820001 250250817003 250250804012 250250104053 250250904003
 250250819002 250250817002 250250817001 250250801001 250250904002
 250250904004 250250803001 250250711012 250250906002 250250817005
 250250806012 250250805001 250250814002 250250817004 250250819001
 250250104042 250250806013 250250820003 250250711013 250250815002
 250250806011 250250709001 250250818003 250250815001 250250809002
 250250904001 250250814001 250250813002 250250814003 250250104051
 250250808011 250250801002 250250818002 250250804011 250250711011
 250250705004 250250819003 250250708002 250250708001 250250818001]",50
